rounds,nl,sbox_name,hidden_size,avalanche_effect,is_random,plaintext_type,avg_cos,std_cos,bit_acc,avg_bit_acc,word_acc,total_samples
16,0,perfectly_linear,128,,True,random,0.704393944429157,0.043507343023360796,51.1,51.097074468085104,0.0,141
16,0,perfectly_linear,256,,True,random,0.7043828382148737,0.04345883332091391,50.81,50.80895390070922,0.0,141
16,0,perfectly_linear,512,,True,random,0.704408546648132,0.043462076274520624,50.8,50.797872340425535,0.0,141
16,2,nonlinearity_two,1024,,True,random,0.7042768868005623,0.049464778502222376,49.21,49.21320921985816,0.0,141
16,2,nonlinearity_two,128,,True,random,0.7041954221337624,0.049562363852400176,49.2,49.202127659574465,0.0,141
16,2,nonlinearity_two,256,,True,random,0.7041800764146756,0.04953344719730137,49.21,49.21320921985816,0.0,141
16,2,nonlinearity_two,512,,True,random,0.7042959830786067,0.049479011214254146,49.37,49.368351063829785,0.0,141
16,4,default_sbox,1024,,True,random,0.7045426908307628,0.04552224911967519,50.14,50.14406028368794,0.0,141
16,4,default_sbox,128,,True,random,0.7045274162908731,0.04552963780068526,50.23,50.232712765957444,0.0,141
16,4,default_sbox,256,,True,random,0.7045531861024525,0.045520234433991835,50.28,50.2770390070922,0.0,141
16,4,default_sbox,512,,True,random,0.7045387147055135,0.045504831431947945,50.47,50.465425531914896,0.0,141
1,0,perfectly_linear,1024,,True,random,0.9999975647204544,4.65396883577173e-06,100.0,100.0,100.0,141
1,0,perfectly_linear,128,,True,random,0.9778455668965429,0.015282126198565444,97.34,97.34042553191489,43.262411347517734,141
1,0,perfectly_linear,256,,True,random,0.9995150303192889,0.0008592028580184989,100.0,100.0,100.0,141
1,0,perfectly_linear,512,,True,random,0.9999759360613357,4.61798911813961e-05,100.0,100.0,100.0,141
1,2,nonlinearity_two,1024,,True,random,0.9999977083878291,4.176094777391584e-06,100.0,100.0,100.0,141
1,2,nonlinearity_two,128,,True,random,0.9795342477550355,0.016771083537236556,97.78,97.78368794326241,45.39007092198582,141
1,2,nonlinearity_two,256,,True,random,0.9993819001471959,0.0012187803176014222,100.0,100.0,100.0,141
1,2,nonlinearity_two,512,,True,random,0.9999787940843453,3.7626786953629176e-05,100.0,100.0,100.0,141
1,4,default_sbox,1024,,True,random,0.9999972665160465,6.05376586325745e-06,100.0,100.0,100.0,141
1,4,default_sbox,128,,True,random,0.9821165522010556,0.015888102834154413,98.13,98.12721631205673,58.86524822695035,141
